episode	category	path	description	nsteps	app
10000000000000000001	general	jetcaster/trace_1	打开应用并查看发现页面	2	Jetcaster
10000000000000000002	general	jetcaster/trace_2	切换到我的播客标签页	2	Jetcaster
10000000000000000003	general	jetcaster/trace_3	在发现页面选择一个播客分类	3	Jetcaster
10000000000000000004	general	jetcaster/trace_4	从最新集数列表播放一个集数	3	Jetcaster
10000000000000000005	general	jetcaster/trace_5	在发现页面订阅一个播客	3	Jetcaster
10000000000000000006	general	jetcaster/trace_6	打开一个播客详情页面	3	Jetcaster
10000000000000000007	general	jetcaster/trace_7	将一个集数添加到播放队列	3	Jetcaster
10000000000000000008	general	jetcaster/trace_8	暂停当前正在播放的集数	3	Jetcaster
10000000000000000009	general	jetcaster/trace_9	从播放器界面返回	3	Jetcaster
10000000000000000010	general	jetcaster/trace_10	在我的播客标签页查看已订阅的播客	3	Jetcaster
10000000000000000011	generated	jetcaster/trace_11	选择科技分类并播放第一个集数	4	Jetcaster
10000000000000000012	generated	jetcaster/trace_12	订阅一个播客然后播放其最新集数	4	Jetcaster
10000000000000000013	generated	jetcaster/trace_13	切换到我的播客标签页并从已订阅播客中播放一个集数	4	Jetcaster
10000000000000000014	generated	jetcaster/trace_14	选择商业分类并订阅第一个播客	4	Jetcaster
10000000000000000015	generated	jetcaster/trace_15	打开播客详情页面并将一个集数添加到队列	4	Jetcaster
10000000000000000016	generated	jetcaster/trace_16	播放一个集数然后暂停它	4	Jetcaster
10000000000000000017	generated	jetcaster/trace_17	选择科学分类并查看可用的播客	4	Jetcaster
10000000000000000018	generated	jetcaster/trace_18	从播放队列中移除一个集数	4	Jetcaster
10000000000000000019	generated	jetcaster/trace_19	导航到播客详情页面并订阅它	4	Jetcaster
10000000000000000020	generated	jetcaster/trace_20	播放一个集数并快进10秒	4	Jetcaster
10000000000000000021	generated	jetcaster/trace_21	选择一个分类，订阅一个播客，并播放其集数	5	Jetcaster
10000000000000000022	generated	jetcaster/trace_22	打开我的播客标签页，选择一个已订阅的播客，并播放一个集数	5	Jetcaster
10000000000000000023	generated	jetcaster/trace_23	选择科技分类，订阅一个播客，并将集数添加到队列	5	Jetcaster
10000000000000000024	generated	jetcaster/trace_24	播放一个集数，暂停它，然后恢复播放	5	Jetcaster
10000000000000000025	generated	jetcaster/trace_25	导航到播客详情，订阅，并播放最新集数	5	Jetcaster
10000000000000000026	generated	jetcaster/trace_26	选择商业分类，查看播客，并订阅一个	5	Jetcaster
10000000000000000027	generated	jetcaster/trace_27	将多个集数添加到播放队列	5	Jetcaster
10000000000000000028	generated	jetcaster/trace_28	播放一个集数，快进，然后快退	5	Jetcaster
10000000000000000029	generated	jetcaster/trace_29	在发现和我的播客标签页之间多次切换	5	Jetcaster
10000000000000000030	generated	jetcaster/trace_30	选择一个分类，浏览播客，并播放一个集数	5	Jetcaster
10000000000000000031	generated	jetcaster/trace_31	在我的播客标签页取消订阅一个播客	5	Jetcaster
10000000000000000032	generated	jetcaster/trace_32	选择科学分类，订阅一个播客，并播放其第一个集数	6	Jetcaster
10000000000000000033	generated	jetcaster/trace_33	打开我的播客，选择一个播客，查看详情，并播放一个集数	6	Jetcaster
10000000000000000034	generated	jetcaster/trace_34	选择科技分类，订阅两个播客，并播放其中一个的集数	6	Jetcaster
10000000000000000035	generated	jetcaster/trace_35	播放一个集数，暂停，添加另一个到队列，然后恢复播放	6	Jetcaster
10000000000000000036	generated	jetcaster/trace_36	导航到播客详情，订阅，将集数添加到队列，并播放	6	Jetcaster
10000000000000000037	generated	jetcaster/trace_37	选择商业分类，浏览播客，订阅，并播放集数	6	Jetcaster
10000000000000000038	generated	jetcaster/trace_38	播放一个集数，快进10秒，快退10秒，然后暂停	6	Jetcaster
10000000000000000039	generated	jetcaster/trace_39	切换到我的播客，选择已订阅的播客，查看集数，并播放一个	6	Jetcaster
10000000000000000040	generated	jetcaster/trace_40	选择一个分类，查看多个播客，订阅一个，并播放集数	6	Jetcaster
10000000000000000041	generated	jetcaster/trace_41	将集数添加到队列，播放它，暂停，然后从队列中移除	6	Jetcaster
10000000000000000042	generated	jetcaster/trace_42	选择科技分类，订阅播客，导航到详情，并播放	7	Jetcaster
10000000000000000043	generated	jetcaster/trace_43	打开我的播客标签页，选择播客，查看详情，如需要则订阅，并播放	7	Jetcaster
10000000000000000044	generated	jetcaster/trace_44	选择商业分类，订阅播客，将集数添加到队列，并播放	7	Jetcaster
10000000000000000045	generated	jetcaster/trace_45	播放集数，暂停，添加另一个到队列，快进，然后恢复播放	7	Jetcaster
10000000000000000046	generated	jetcaster/trace_46	导航到播客详情，订阅，将集数添加到队列，播放，并暂停	7	Jetcaster
10000000000000000047	generated	jetcaster/trace_47	选择科学分类，浏览播客，订阅一个，并播放集数	7	Jetcaster
10000000000000000048	generated	jetcaster/trace_48	在分类之间切换，选择科技，订阅，并播放集数	7	Jetcaster
10000000000000000049	generated	jetcaster/trace_49	打开我的播客，选择已订阅的播客，查看集数，添加到队列，并播放	7	Jetcaster
10000000000000000050	generated	jetcaster/trace_50	选择分类，查看播客，订阅两个，并播放第一个的集数	7	Jetcaster
10000000000000000051	generated	jetcaster/trace_51	播放集数，快进，暂停，添加另一个到队列，然后恢复播放	8	Jetcaster
10000000000000000052	generated	jetcaster/trace_52	选择科技分类，订阅播客，导航到详情，将集数添加到队列，并播放	8	Jetcaster
10000000000000000053	generated	jetcaster/trace_53	打开我的播客标签页，选择播客，查看详情，如需要则订阅，将集数添加到队列，并播放	8	Jetcaster
10000000000000000054	generated	jetcaster/trace_54	选择商业分类，浏览播客，订阅一个，查看详情，并播放集数	8	Jetcaster
10000000000000000055	generated	jetcaster/trace_55	播放集数，暂停，快退，添加另一个到队列，快进，然后恢复播放	8	Jetcaster
10000000000000000056	generated	jetcaster/trace_56	导航到播客详情，订阅，将集数添加到队列，播放，暂停，并返回	8	Jetcaster
10000000000000000057	generated	jetcaster/trace_57	选择科学分类，查看多个播客，订阅一个，并播放其最新集数	8	Jetcaster
10000000000000000058	generated	jetcaster/trace_58	在发现和我的播客之间切换，选择分类，订阅，并播放集数	8	Jetcaster
10000000000000000059	generated	jetcaster/trace_59	打开我的播客，选择已订阅的播客，查看集数，添加多个到队列，并播放第一个	8	Jetcaster
10000000000000000060	generated	jetcaster/trace_60	选择分类，浏览播客，订阅两个不同的播客，并播放第一个的集数	8	Jetcaster
10000000000000000061	generated	jetcaster/trace_61	选择科技分类，订阅播客，导航到详情，将集数添加到队列，播放，并暂停	9	Jetcaster
10000000000000000062	generated	jetcaster/trace_62	打开我的播客标签页，选择播客，查看详情，如需要则订阅，将集数添加到队列，播放，并快进	9	Jetcaster
